time,symbol,side,entry,exit,qty,pnl,pnl_pct,reason,duration,rr,score,signals,balance
2026-04-09 20:52:33,ETHUSDT,LONG,2216.09,2210.26,0.59562,-4.1965,-4.197,SL,0h 11m,1.16,3,"EMA_BULL,MACD_X_DN,15M_BULL,1H_BULL",93.7195
2026-04-09 21:10:25,BTCUSDT,LONG,72341.2,72452.6,0.018986,1.3585,1.358,SL,0h 29m,0.71,3,"EMA_BULL,15M_BULL,1H_BULL",94.4252
2026-04-09 21:10:25,SOLUSDT,LONG,84.21,84.29,13.009611,0.4376,0.438,SL,0h 29m,0.35,3,"EMA_BULL,15M_BULL,1H_BULL",94.8629
2026-04-09 21:10:25,ETHUSDT,LONG,2212.83,2214.43,0.536367,0.2049,0.205,SL,0h 16m,0.32,3,"EMA_BULL,15M_BULL,1H_BULL",95.0678
2026-04-09 21:56:08,SOLUSDT,LONG,84.17,84.29,9.44883,0.6958,0.696,SL,0h 44m,0.4,3,"EMA_BULL,15M_BULL,1H_BULL",93.8993
2026-04-09 22:19:32,BTCUSDT,LONG,72170.7,72977.9,0.014416,11.058,11.058,TP,1h 8m,4.08,3,"EMA_BULL,MACD_X_DN,15M_BULL,1H_BULL",104.3695
2026-04-09 22:19:32,BNBUSDT,LONG,607.6,611.1,2.557632,8.0921,8.092,TP,1h 7m,3.14,3,"EMA_BULL,15M_BULL,1H_BULL",112.4616
2026-04-09 22:19:32,SOLUSDT,LONG,84.32,85.65,12.673382,16.2586,16.259,TP,0h 22m,5.97,3,"EMA_BULL,15M_BULL,1H_BULL",128.7202
2026-04-09 22:32:37,BTCUSDT,LONG,72749.0,72437.5,0.01697,-5.9623,-5.962,SL,0h 12m,1.37,4,"FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",121.0966
2026-04-09 22:32:37,ETHUSDT,LONG,2230.2,2217.15,0.444052,-6.3364,-6.336,SL,0h 11m,1.5,4,"FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",114.7602
2026-04-09 22:32:37,SOLUSDT,LONG,85.26,84.79,9.332217,-4.8213,-4.821,SL,0h 11m,1.14,4,"FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",109.9389
2026-04-09 22:43:26,SOLUSDT,LONG,84.87,84.38,7.772585,-4.1693,-4.169,SL,0h 9m,1.15,4,"OB_BEAR,FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",104.4424
2026-04-09 22:50:13,BTCUSDT,LONG,72506.9,72241.9,0.013753,-4.191,-4.191,SL,0h 16m,1.11,3,"FVG_BEAR,EMA_BULL,15M_BULL,1H_BULL",100.2514
2026-04-09 22:50:13,ETHUSDT,LONG,2218.7,2208.69,0.340827,-3.8257,-3.826,SL,0h 16m,1.03,4,"FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",96.4257
2026-04-10 14:16:14,OPUSDT,SHORT,0.11327,0.1141,4285.288824,-3.8257,-3.826,SL,0h 6m,1.19,5,"BREAKOUT_DN(vol_z=3.25),EMA_BEAR,15M_BEAR,1H_BEAR",95.9073
2026-04-10 15:00:36,INJUSDT,LONG,3.014,3.06,219.194261,9.714,9.714,TP,0h 16m,3.36,5,"OB_BULL,FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",109.3507
2026-04-10 15:00:37,INJUSDT,LONG,3.013,3.06,210.223341,9.5267,9.527,TP,0h 16m,3.43,5,"OB_BULL,FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",105.0856
2026-04-10 15:01:52,INJUSDT,LONG,3.015,3.062,219.194261,9.933,9.933,TP,0h 18m,3.43,5,"SWEEP_BEAR(str=0.56),OB_BULL,FVG_BULL,EMA_BULL,15M_BULL,1H_BULL",109.2618
